dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,13.373939,0.561850,13.450500,3.660000,0.497959,0.000000,1.655965
0.050000,13.242254,0.679340,13.633329,3.653141,-0.137171,-12.702611,2.687782
0.050000,13.073312,0.746825,13.815363,3.628243,-0.497959,-7.215756,2.812887
0.050000,12.900589,0.800156,13.996153,3.603346,-0.497959,0.000000,2.865747
0.050000,12.727059,0.846212,14.175698,3.578448,-0.497959,0.000000,2.896295
0.050000,12.553643,0.887645,14.353998,3.553550,-0.497959,0.000000,2.916658
0.050000,12.380751,0.925802,14.531053,3.528652,-0.497959,0.000000,2.931395
0.050000,12.208599,0.961478,14.706863,3.503754,-0.497959,-0.000000,2.942646
0.050000,12.037320,0.995189,14.881428,3.478856,-0.497959,0.000000,2.951563
0.050000,11.866999,1.027289,15.054748,3.453958,-0.497959,0.000000,2.958829
0.050000,11.697693,1.058037,15.226824,3.429060,-0.497959,0.000000,2.964876
0.050000,11.529445,1.087628,15.397654,3.404162,-0.497959,-0.000000,2.969993
0.050000,11.362286,1.116211,15.567240,3.379264,-0.497959,0.000000,2.974381
0.050000,11.196239,1.143906,15.735581,3.354366,-0.497959,0.000000,2.978185
0.050000,11.031323,1.170809,15.902677,3.329468,-0.497959,0.000000,2.981512
0.050000,10.867554,1.197001,16.068528,3.304570,-0.497959,0.000000,2.984445
0.050000,10.704942,1.222547,16.233134,3.279672,-0.497959,0.000000,2.987045
0.050000,10.543498,1.247503,16.396495,3.254774,-0.497959,0.000000,2.989364
0.050000,10.383231,1.271917,16.558611,3.229876,-0.497959,0.000000,2.991439
0.050000,10.224147,1.295831,16.719482,3.204978,-0.497959,0.000000,2.993305
0.050000,10.066252,1.319280,16.879109,3.180080,-0.497959,-0.000000,2.994986
0.050000,9.909552,1.342296,17.037490,3.155182,-0.497959,0.000000,2.996505
0.050000,9.754051,1.364907,17.194627,3.130284,-0.497959,-0.000000,2.997879
0.050000,9.599752,1.387136,17.350519,3.105386,-0.497959,0.000000,2.999125
0.050000,9.446659,1.409006,17.505166,3.080488,-0.497959,0.000000,3.000254
0.050000,9.294776,1.430536,17.658568,3.055590,-0.497959,0.000000,3.001279
0.050000,9.144104,1.451745,17.810725,3.030692,-0.497959,0.000000,3.002209
0.050000,8.994646,1.472648,17.961637,3.005794,-0.497959,0.000000,3.003052
0.050000,8.846405,1.493259,18.111304,2.980897,-0.497959,0.000000,3.003814
0.050000,8.699382,1.513592,18.259727,2.955999,-0.497959,0.000000,3.004504
0.050000,8.553579,1.533660,18.406904,2.931101,-0.497959,-0.000000,3.005125
0.050000,8.408998,1.553472,18.552837,2.906203,-0.497959,0.000000,3.005683
0.050000,8.265639,1.573039,18.697524,2.881305,-0.497959,0.000000,3.006182
0.050000,8.123505,1.592372,18.840967,2.856407,-0.497959,0.000000,3.006626
0.050000,7.982597,1.611477,18.983165,2.831509,-0.497959,0.000000,3.007017
0.050000,7.842915,1.630364,19.124118,2.806611,-0.497959,0.000000,3.007360
0.050000,7.704461,1.649041,19.263826,2.781713,-0.497959,-0.000000,3.007657
0.050000,7.567235,1.667513,19.402289,2.756815,-0.497959,0.000000,3.007909
0.050000,7.431239,1.685787,19.539508,2.731917,-0.497959,0.000000,3.008119
0.050000,7.296474,1.703870,19.675481,2.707019,-0.497959,0.000000,3.008290
0.050000,7.162939,1.721767,19.810209,2.682121,-0.497959,-0.000000,3.008422
0.050000,7.030637,1.739484,19.943693,2.657223,-0.497959,0.000000,3.008517
0.050000,6.899566,1.757026,20.075932,2.632325,-0.497959,0.000000,3.008577
